headers	province	region
EPI_ISL_2696190|B/Hunan-Kaifu/162/2021|2021-01-25	Hunan	Central
EPI_ISL_2696192|B/Hunan-Kaifu/126/2021|2021-01-12	Hunan	Central
EPI_ISL_2696200|B/Jiangxi-Xihu/1106/2021|2021-01-20	Jiangxi	East
EPI_ISL_2696201|B/Jiangxi-Xihu/182/2021|2021-01-20	Jiangxi	East
EPI_ISL_2696204|B/Jiangxi-Jizhou/180/2021|2021-01-18	Jiangxi	East
EPI_ISL_2696211|B/Jiangxi-Donghu/1168/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696212|B/Jiangxi-Donghu/1172/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696213|B/Jiangxi-Donghu/1166/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696214|B/Jiangxi-Donghu/1164/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696215|B/Jiangxi-Donghu/1165/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696216|B/Jiangxi-Donghu/1162/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696217|B/Jiangxi-Donghu/1159/2021|2021-01-28	Jiangxi	East
EPI_ISL_2696218|B/Jiangxi-Donghu/1135/2021|2021-01-19	Jiangxi	East
EPI_ISL_2696219|B/Jiangxi-Donghu/1119/2021|2021-01-19	Jiangxi	East
EPI_ISL_2696220|B/Guizhou-Douyun/142/2021|2021-01-11	Guizhou	Southwest
EPI_ISL_2696221|B/Guizhou-Douyun/141/2021|2021-01-11	Guizhou	Southwest
EPI_ISL_2696222|B/Guizhou-Douyun/138/2021|2021-01-11	Guizhou	Southwest
EPI_ISL_2696223|B/Guizhou-Douyun/112/2021|2021-01-05	Guizhou	Southwest
EPI_ISL_2696224|B/Guizhou-Douyun/120/2021|2021-01-05	Guizhou	Southwest
EPI_ISL_2696225|B/Guizhou-Douyun/110/2021|2021-01-05	Guizhou	Southwest
EPI_ISL_2696230|B/Hubei-Qiaokou/223/2021|2021-01-16	Hubei	Central
EPI_ISL_2696231|B/Hubei-Wujiagang/185/2021|2021-01-21	Hubei	Central
EPI_ISL_2696232|B/Guizhou-Douyun/163/2021|2021-01-18	Guizhou	Southwest
EPI_ISL_2696233|B/Guizhou-Douyun/170/2021|2021-01-18	Guizhou	Southwest
EPI_ISL_2696234|B/Guizhou-Douyun/174/2021|2021-01-19	Guizhou	Southwest
EPI_ISL_2696235|B/Guizhou-Douyun/175/2021|2021-01-19	Guizhou	Southwest
EPI_ISL_2696236|B/Guizhou-Douyun/179/2021|2021-01-19	Guizhou	Southwest
EPI_ISL_2696237|B/Guizhou-Douyun/122/2021|2021-01-05	Guizhou	Southwest
EPI_ISL_2696238|B/Guizhou-Douyun/138/2021|2021-01-11	Guizhou	Southwest
EPI_ISL_2696240|B/Guizhou-Douyun/151/2021|2021-01-12	Guizhou	Southwest
EPI_ISL_2696241|B/Guizhou-Douyun/152/2021|2021-01-12	Guizhou	Southwest
