headers	province	region
EPI_ISL_3722694|B/Hubei-Jiangan/1555/2021|2021-06-07	Hubei	Central
EPI_ISL_3722695|B/Hubei-Jiangan/1555/2021|2021-06-07	Hubei	Central
EPI_ISL_3722697|B/Zhejiang-Yuecheng/1693/2021|2021-06-09	Zhejiang	East
EPI_ISL_3722698|B/Gansu-Jiayuguan/1449/2021|2021-06-07	Gansu	Northwest
EPI_ISL_3722699|B/Gansu-Suzhou/1447/2021|2021-06-06	Gansu	Northwest
EPI_ISL_3722700|B/Beijing-Chaoyang/11280/2021|2021-06-01	Beijing	North
EPI_ISL_3722708|B/Guizhou-Songtaomiaozuzizhi/346/2021|2021-06-16	Guizhou	Southwest
EPI_ISL_3722710|B/Guangdong-Zhenjiang/1485/2021|2021-06-16	Guangdong	South
EPI_ISL_3722714|B/Shanghai-Jiading/1473/2021|2021-06-14	Shanghai	East
EPI_ISL_3722715|B/Hubei-Tongcheng/2145/2021|2021-06-08	Hubei	Central
EPI_ISL_3722716|B/Hubei-Qiaokou/1425/2021|2021-06-14	Hubei	Central
EPI_ISL_3722717|B/Hubei-Dongxihu/2233/2021|2021-06-27	Hubei	Central
EPI_ISL_3722719|B/Gansu-Baiyin/1281/2021|2021-04-13	Gansu	Northwest
EPI_ISL_3722720|B/Gansu-Chengguan/1407/2021|2021-03-09	Gansu	Northwest
EPI_ISL_3722721|B/Gansu-Baiyin/1246/2021|2021-03-30	Gansu	Northwest
EPI_ISL_3722725|B/Gansu-Qinzhou/1256/2021|2021-03-31	Gansu	Northwest
EPI_ISL_3722726|B/Gansu-Baiyin/1246/2021|2021-03-30	Gansu	Northwest
